TOA5,1,CR300,21814,CR310.Std.11.01,CPU:redox_GW_deployed.CR300,16684,Table1,
12/15/24 17:00,100,12.2,21.03,NAN,NAN,334.1333,14.3,9303
12/15/24 17:15,101,12.2,20.58,NAN,NAN,334.2,14.3,9271.066
12/15/24 17:30,102,12.21,20.11,NAN,NAN,334.2667,14.3,9219.667
12/15/24 17:45,103,12.2,19.68,NAN,NAN,333.8,14.29333,9182.6
12/15/24 18:00,104,12.2,19.45,NAN,NAN,334.1333,14.3,9224.467
12/15/24 18:15,105,12.18,19.24,NAN,NAN,335.5333,14.3,9170.533
12/15/24 18:30,106,12.19,18.91,NAN,NAN,335.3333,14.3,9114.267
12/15/24 18:45,107,12.17,18.66,NAN,NAN,335.4667,14.3,9136.733
12/15/24 19:00,108,12.17,18.49,NAN,NAN,335.1333,14.3,9095.866
12/15/24 19:15,109,12.17,18.55,NAN,NAN,335.5333,14.26667,9067.267
12/15/24 19:30,110,12.16,18.8,NAN,NAN,333.7333,14.2,9042.6
12/15/24 19:45,111,12.15,19.02,NAN,NAN,331.4667,14.2,9054
12/15/24 20:00,112,12.15,19.02,NAN,NAN,332.2,14.2,9064.6
12/15/24 20:15,113,12.14,18.97,NAN,NAN,329.5333,14.2,9048
12/15/24 20:30,114,12.13,18.59,NAN,NAN,329.8,14.2,9019.4
12/15/24 20:45,115,12.14,18.1,NAN,NAN,330.1333,14.2,8984.667
12/15/24 21:00,116,12.13,17.71,NAN,NAN,328.0667,14.2,8942.733
12/15/24 21:15,117,12.12,17.56,NAN,NAN,326.6,14.2,8915.667
12/15/24 21:30,118,12.12,17.91,NAN,NAN,325.3333,14.2,8895.866
12/15/24 21:45,119,12.11,18.39,NAN,NAN,324.3333,14.18,8871.6
12/15/24 22:00,120,12.12,18.66,NAN,NAN,323.0667,14.15333,8809.2
12/15/24 22:15,121,12.1,18.72,NAN,NAN,322.1333,14.14,8843
12/15/24 22:30,122,12.11,18.65,NAN,NAN,320.2,14.10667,8788.066
12/15/24 22:45,123,12.1,18.58,NAN,NAN,318.3333,14.1,8809.667
12/15/24 23:00,124,12.09,18.64,NAN,NAN,316.6667,14.1,8783.4
12/15/24 23:15,125,12.09,18.66,NAN,NAN,314.5333,14.1,8785.467
12/15/24 23:30,126,12.09,18.59,NAN,NAN,313.8667,14.1,8740.733
12/15/24 23:45,127,12.08,18.6,NAN,NAN,312.2,14.1,8726.134
12/16/24 0:00,128,12.08,18.56,NAN,NAN,311.6667,14.1,8736.733
12/16/24 0:15,129,12.07,18.5,NAN,NAN,310.7333,14.1,8680.667
12/16/24 0:30,130,12.06,18.41,NAN,NAN,310.8,14.1,8657.667
12/16/24 0:45,131,12.07,18.33,NAN,NAN,309.6,14.1,8656.2
12/16/24 1:00,132,12.05,18.38,NAN,NAN,309.6,14.1,8687.066
12/16/24 1:15,133,12.05,18.6,NAN,NAN,308.6667,14.1,8614.533
12/16/24 1:30,134,12.04,18.75,NAN,NAN,308.4,14.1,8610.934
12/16/24 1:45,135,12.05,18.89,NAN,NAN,308.7333,14.1,8589.733
12/16/24 2:00,136,12.04,18.95,NAN,NAN,307.1333,14.1,8608.134
12/16/24 2:15,137,12.04,18.84,NAN,NAN,306.6667,14.1,8565.733
12/16/24 2:30,138,12.03,18.7,NAN,NAN,306.6,14.1,8562.4
12/16/24 2:45,139,12.02,18.42,NAN,NAN,306.4,14.1,8532
12/16/24 3:00,140,12.02,18.11,NAN,NAN,307.6667,14.18667,8518.733
12/16/24 3:15,141,12.01,17.95,NAN,NAN,308.9333,14.2,8476.733
12/16/24 3:30,142,12.01,17.65,NAN,NAN,309.2,14.2,8449.4
12/16/24 3:45,143,12,17.37,NAN,NAN,307.8667,14.2,8461
12/16/24 4:00,144,12,17.08,NAN,NAN,308.8667,14.2,8462.4
12/16/24 4:15,145,11.99,16.82,NAN,NAN,310.9333,14.24,8439.267
12/16/24 4:30,146,11.99,16.52,NAN,NAN,311.2667,14.20667,8411.733
12/16/24 4:45,147,11.98,16.1,NAN,NAN,310.8667,14.2,8388.866
12/16/24 5:00,148,11.98,15.37,NAN,NAN,312.1333,14.21333,8406.4
12/16/24 5:15,149,11.96,14.5,NAN,NAN,313.8667,14.26,8411.6
12/16/24 5:30,150,11.97,13.77,NAN,NAN,313.8667,14.3,8363.066
12/16/24 5:45,151,11.95,13.5,NAN,NAN,315.4667,14.3,8364
12/16/24 6:00,152,11.96,13.29,NAN,NAN,315.8667,14.3,8367
12/16/24 6:15,153,11.95,13.23,NAN,NAN,315.4667,14.3,8351.267
12/16/24 6:30,154,11.94,13.38,NAN,NAN,315.2,14.3,8338.8
12/16/24 6:45,155,11.94,13.33,NAN,NAN,315.2,14.3,8308.333
12/16/24 7:00,156,11.93,13.14,NAN,NAN,316.4667,14.3,8343.467
12/16/24 7:15,157,11.92,13.05,NAN,NAN,316.1333,14.3,8302.2
12/16/24 7:30,158,11.92,13,NAN,NAN,316.1333,14.3,8291.467
12/16/24 7:45,159,11.92,12.87,NAN,NAN,316.3333,14.3,8284.467
12/16/24 8:00,160,11.91,12.51,NAN,NAN,318.6667,14.35333,8262.333
12/16/24 8:15,161,11.9,11.92,NAN,NAN,318.7333,14.36,8249.4
12/16/24 8:30,162,11.9,11.3,NAN,NAN,317.7333,14.34667,8213.533
12/16/24 8:45,163,11.89,10.96,NAN,NAN,317.2667,14.32,8248
12/16/24 9:00,164,11.88,11.33,NAN,NAN,316.8667,14.33333,8261.134
12/16/24 9:15,165,11.88,12.01,NAN,NAN,316.0667,14.31333,8211
12/16/24 9:30,166,11.88,12.68,NAN,NAN,316.1333,14.3,8213.267
12/16/24 9:45,167,11.83,13.45,NAN,NAN,315.0667,14.3,8146.333
12/16/24 10:00,168,11.83,14.28,NAN,NAN,315.2,14.3,8130
12/16/24 10:15,169,11.81,14.92,NAN,NAN,315.2667,14.30667,8118.867
12/16/24 10:30,170,11.8,15.73,NAN,NAN,313.8667,14.34667,8102.467
12/16/24 10:45,171,11.8,16.51,NAN,NAN,313.8667,14.32667,8088.667
12/16/24 11:00,172,11.78,17.01,NAN,NAN,312.8,14.36667,8113.2
12/16/24 11:15,173,11.78,17.52,NAN,NAN,313.0667,14.36667,8081.2
12/16/24 11:30,174,11.77,18.25,NAN,NAN,311.2667,14.3,8052.333
12/16/24 11:45,175,11.76,18.77,NAN,NAN,312.3333,14.33333,8102.8
12/16/24 12:00,176,11.76,19.46,NAN,NAN,311.7333,14.3,8045.667
12/16/24 12:15,177,11.76,20.11,NAN,NAN,310.6667,14.3,8026.733
12/16/24 12:30,178,11.74,20.6,NAN,NAN,311.2667,14.30667,8010.4
12/16/24 12:45,179,11.75,21.23,NAN,NAN,311,14.31333,7984.133
12/16/24 13:00,180,11.76,21.55,NAN,NAN,310.6667,14.35333,7974.733
12/16/24 13:15,181,11.75,21.74,NAN,NAN,310.3333,14.3,7949.933
12/16/24 13:30,182,11.76,21.96,NAN,NAN,309.7333,14.36,7953.533
12/16/24 13:45,183,11.74,21.74,NAN,NAN,309.0667,14.32,7956.133
12/16/24 14:00,184,11.69,21.37,NAN,NAN,309.1333,14.35333,7916.933
12/16/24 14:15,185,11.7,21.49,NAN,NAN,307.1333,14.3,7869.867
12/16/24 14:30,186,11.68,21.91,NAN,NAN,308.4667,14.4,7840.467
12/16/24 14:45,187,11.67,22.31,NAN,NAN,307.9333,14.39333,7812.8
12/16/24 15:00,188,11.65,22.38,NAN,NAN,307.8,14.35333,7768.733
12/16/24 15:15,189,11.63,22.37,NAN,NAN,308.3333,14.4,7775.4
12/16/24 15:30,190,11.62,22.38,NAN,NAN,309.2,14.4,7758.667
12/16/24 15:45,191,11.61,21.81,NAN,NAN,309.6667,14.4,7726.667
12/16/24 16:00,192,11.59,21.41,NAN,NAN,310.2667,14.4,7725
12/16/24 16:15,193,11.58,20.36,NAN,NAN,309.5333,14.4,7708.4
12/16/24 16:30,194,11.55,18.61,NAN,NAN,310,14.4,7690.467
12/16/24 16:45,195,11.54,17.55,NAN,NAN,309.9333,14.4,7713.933
12/16/24 17:00,196,11.51,16.84,NAN,NAN,311,14.4,7673.667
12/16/24 17:15,197,11.5,16.22,NAN,NAN,311.8667,14.4,7687.4
12/16/24 17:30,198,11.47,15.54,NAN,NAN,311.7333,14.4,7679.067
12/16/24 17:45,199,11.46,14.78,NAN,NAN,312.9333,14.46,7677.6
12/16/24 18:00,200,11.44,13.71,NAN,NAN,312.2,14.42667,7633.267
12/16/24 18:15,201,11.41,12.59,NAN,NAN,313.4,14.47333,7631
12/16/24 18:30,202,11.39,11.46,NAN,NAN,312.4667,14.42,7582.267
12/16/24 18:45,203,11.36,10.57,NAN,NAN,312.5333,14.40667,7568.4
12/16/24 19:00,204,11.34,9.83,NAN,NAN,311.1333,14.41333,7576.4
12/16/24 19:15,205,11.3,9.23,NAN,NAN,311.6667,14.48667,7553.733
12/16/24 19:30,206,11.28,8.63,NAN,NAN,312.2,14.5,7536.733
12/16/24 19:45,207,11.25,8.04,NAN,NAN,312.9333,14.5,7553.933
12/16/24 20:00,208,11.21,7.59,NAN,NAN,311.9333,14.42,7535.667
12/16/24 20:15,209,11.18,7.277,NAN,NAN,311.3333,14.43333,7493
12/16/24 20:30,210,11.15,7.02,NAN,NAN,311.4667,14.46,7488.133
12/16/24 20:45,211,11.1,6.848,NAN,NAN,310.6,14.43333,7455.667
12/16/24 21:00,212,11.05,6.645,NAN,NAN,308.4667,14.4,7434.6
12/16/24 21:15,213,11.01,6.486,NAN,NAN,308.2,14.4,7453.333
12/16/24 21:30,214,10.95,6.227,NAN,NAN,306.8,14.4,7396.8
12/16/24 21:45,215,10.89,6.134,NAN,NAN,305.7333,14.4,7402
12/16/24 22:00,216,10.8,6.11,NAN,NAN,304.7333,14.4,7379.333
12/16/24 22:15,217,10.71,6.103,NAN,NAN,304.2667,14.4,7381.4
12/16/24 22:30,218,10.56,6.076,NAN,NAN,304.2,14.4,7354.733
12/16/24 22:45,219,10.32,5.885,NAN,NAN,303.2,14.4,7331.533
12/16/24 23:00,220,10.56,5.488,NAN,NAN,302.3333,14.4,7324.267
12/16/24 23:15,221,10.73,4.395,NAN,NAN,301.2,14.4,7308.733
12/16/24 23:30,222,10.77,3.023,NAN,NAN,301.2,14.4,7287.333
12/16/24 23:45,223,10.79,1.76,NAN,NAN,300.7333,14.4,7274.733
12/17/24 0:00,224,10.81,0.676,NAN,NAN,299.6667,14.4,7263.533
12/17/24 0:15,225,10.83,-0.181,NAN,NAN,299.2,14.4,7249.933
12/17/24 0:30,226,10.83,-0.815,NAN,NAN,299.4,14.4,7232.467
12/17/24 0:45,227,10.84,-1.305,NAN,NAN,297.8667,14.4,7217.933
12/17/24 1:00,228,10.85,-1.812,NAN,NAN,296.8,14.4,7202.6
12/17/24 1:15,229,10.86,-2.142,NAN,NAN,296.2667,14.4,7187.8
12/17/24 1:30,230,10.87,-2.461,NAN,NAN,296.6,14.4,7162.733
12/17/24 1:45,231,10.86,-2.637,NAN,NAN,295.1333,14.4,7147.2
12/17/24 2:00,232,10.87,-2.813,NAN,NAN,295.5333,14.4,7136.933
12/17/24 2:15,233,10.87,-3.011,NAN,NAN,295.1333,14.4,7119.733
12/17/24 2:30,234,10.88,-3.238,NAN,NAN,294.8667,14.4,7100
12/17/24 2:45,235,10.88,-3.433,NAN,NAN,294.2667,14.4,7083.133
12/17/24 3:00,236,10.88,-3.642,NAN,NAN,294.3333,14.4,7062
12/17/24 3:15,237,10.89,-3.706,NAN,NAN,296.6667,14.45333,7038.267
12/17/24 3:30,238,10.89,-3.805,NAN,NAN,296.2667,14.42667,7022.533
12/17/24 3:45,239,10.88,-3.894,NAN,NAN,295.9333,14.42,7005.533
12/17/24 4:00,240,10.88,-3.929,NAN,NAN,296.2667,14.41333,6989.933
12/17/24 4:15,241,10.88,-3.877,NAN,NAN,298.1333,14.5,6961.467
12/17/24 4:30,242,10.89,-3.831,NAN,NAN,299.1333,14.5,6928
12/17/24 4:45,243,10.89,-3.807,NAN,NAN,299.6,14.5,6903.933
12/17/24 5:00,244,10.89,-3.832,NAN,NAN,300,14.5,6831.2
12/17/24 5:15,245,10.89,-3.88,NAN,NAN,300.9333,14.5,6798.6
12/17/24 5:30,246,10.9,-4.019,NAN,NAN,301.8,14.5,6770.467
12/17/24 5:45,247,10.89,-4.171,NAN,NAN,302.6667,14.5,6583.667
12/17/24 6:00,248,10.89,-4.239,NAN,NAN,303.4,14.56,12191.27
12/17/24 6:15,249,10.89,-4.079,NAN,NAN,305.7333,14.6,16023.73
12/17/24 6:30,250,10.89,-3.729,NAN,NAN,306.3333,14.6,16034.93
12/17/24 6:45,251,10.89,-3.635,NAN,NAN,307.1333,14.6,16032.93
12/17/24 7:00,252,10.88,-3.801,NAN,NAN,308.4,14.6,16032.13
12/17/24 7:15,253,10.88,-3.918,NAN,NAN,311.0667,14.6,16023
12/17/24 7:30,254,10.88,-4.022,NAN,NAN,312.6,14.6,16012.47
12/17/24 7:45,255,10.88,-4.047,NAN,NAN,311.6667,14.6,16020.53
12/17/24 8:00,256,10.88,-4.056,NAN,NAN,312.7333,14.6,16014.27
12/17/24 8:15,257,10.88,-3.888,NAN,NAN,313.9333,14.6,16006.87
12/17/24 8:30,258,10.88,-3.555,NAN,NAN,315.8,14.68667,15993.6
12/17/24 8:45,259,10.88,-2.762,NAN,NAN,315.5333,14.6,15994.2
12/17/24 9:00,260,10.88,-1.236,NAN,NAN,315.6,14.6,16000.33
12/17/24 9:15,261,10.88,1.408,NAN,NAN,315.4667,14.6,15990.53
12/17/24 9:30,262,10.89,4.414,NAN,NAN,315.6667,14.6,15987.8
12/17/24 9:45,263,10.9,6.996,NAN,NAN,315.0667,14.6,15982.47
12/17/24 10:00,264,10.9,9.27,NAN,NAN,315.9333,14.6,15973.87
12/17/24 10:15,265,10.9,11.34,NAN,NAN,316,14.6,15971.4
12/17/24 10:30,266,10.91,12.91,NAN,NAN,316,14.6,15957.2
12/17/24 10:45,267,10.92,13.82,NAN,NAN,315.3333,14.6,15962.53
12/17/24 11:00,268,10.91,14.81,NAN,NAN,313.5333,14.6,15955.27
12/17/24 11:15,269,10.91,16.22,NAN,NAN,312.5333,14.52667,13137.53
12/17/24 11:30,270,10.91,17.96,NAN,NAN,310.0667,14.6,10682.87
12/17/24 11:45,271,10.92,18.95,NAN,NAN,311.6,14.6,10686
12/17/24 12:00,272,10.92,19.23,NAN,NAN,312.2667,14.6,10688.13
12/17/24 12:15,273,10.92,19.62,NAN,NAN,310.8,14.54667,10692
12/17/24 12:30,274,10.92,20.19,NAN,NAN,313.0833,14.6,10682.83
12/17/24 12:45,275,10.92,20.78,NAN,NAN,314.1333,14.6,10676.27
12/17/24 13:00,276,10.92,21.35,NAN,NAN,313,14.59333,10674.4
12/17/24 13:15,277,10.93,21.86,NAN,NAN,312.1333,14.5,10663.73
12/17/24 13:30,278,10.92,21.69,NAN,NAN,311.7333,14.52667,10656.53
12/17/24 13:45,279,10.92,22.16,NAN,NAN,312.8,14.5,10648.13
12/17/24 14:00,280,10.92,22.42,NAN,NAN,311.1333,14.51333,10642.4
12/17/24 14:15,281,10.93,21.88,NAN,NAN,312.5333,14.6,10628.2
12/17/24 14:30,282,10.93,20.81,NAN,NAN,313.1333,14.6,10617.73
12/17/24 14:45,283,10.93,20.9,NAN,NAN,314.2,14.6,10602.6
12/17/24 15:00,284,10.93,21.34,NAN,NAN,315.4667,14.6,10594
12/17/24 15:15,285,10.92,22.28,NAN,NAN,316.1667,14.6,10565.67
12/17/24 15:30,286,10.92,22.23,NAN,NAN,315.8,14.59333,10558.67
12/17/24 15:45,287,10.92,21.49,NAN,NAN,314.4667,14.5,10552
12/17/24 16:00,288,10.93,20.07,NAN,NAN,313.1333,14.50667,10549.27
12/17/24 16:15,289,10.93,19.58,NAN,NAN,311.7333,14.5,10544.73
12/17/24 16:30,290,10.92,17.66,NAN,NAN,311.4667,14.50667,10536.2
12/17/24 16:45,291,10.93,15.96,NAN,NAN,313.1333,14.6,10525.2
12/17/24 17:00,292,10.92,14.82,NAN,NAN,314.6667,14.6,10508.4
12/17/24 17:15,293,10.93,13.85,NAN,NAN,314.9333,14.57333,10498.33
12/17/24 17:30,294,10.93,12.91,NAN,NAN,313.8667,14.5,10493.47
12/17/24 17:45,295,10.93,11.95,NAN,NAN,313.2,14.5,10493.8
12/17/24 18:00,296,10.92,10.93,NAN,NAN,313.8667,14.5,10486.6
12/17/24 18:15,297,10.92,9.52,NAN,NAN,314.4,14.57333,10474.87
12/17/24 18:30,298,10.93,8.47,NAN,NAN,314.4667,14.5,10467.87
12/17/24 18:45,299,10.92,7.605,NAN,NAN,313.8,14.56,10465.47
12/17/24 19:00,300,10.93,7.034,NAN,NAN,314.9333,14.53333,10454
12/17/24 19:15,301,10.93,7.189,NAN,NAN,316.0667,14.6,10447.13
12/17/24 19:30,302,10.93,8.75,NAN,NAN,316.6667,14.6,10443.13
12/17/24 19:45,303,10.93,10.04,NAN,NAN,314.2667,14.54667,10433.87
12/17/24 20:00,304,10.93,10.3,NAN,NAN,313.4667,14.5,10426.6
12/17/24 20:15,305,10.94,10.38,NAN,NAN,313.6,14.5,10415.8
12/17/24 20:30,306,10.93,10.8,NAN,NAN,313.2667,14.5,10410.87
12/17/24 20:45,307,10.94,11.24,NAN,NAN,309.2667,14.46,10416.07
12/17/24 21:00,308,10.94,10.99,NAN,NAN,309.8,14.5,10407.33
12/17/24 21:15,309,10.93,10.61,NAN,NAN,309.7333,14.5,10397.87
12/17/24 21:30,310,10.94,10.32,NAN,NAN,308.6,14.45333,10393
12/17/24 21:45,311,10.93,10.02,NAN,NAN,307.8667,14.5,10391.27
12/17/24 22:00,312,10.93,9.72,NAN,NAN,306.6,14.5,10384.33
12/17/24 22:15,313,10.94,9.63,NAN,NAN,305.6667,14.5,10381.4
12/17/24 22:30,314,10.94,9.49,NAN,NAN,304.1333,14.45333,10379.87
12/17/24 22:45,315,10.94,9.27,NAN,NAN,303.2,14.4,10369.67
12/17/24 23:00,316,10.94,9.05,NAN,NAN,301.0667,14.4,10371.07
12/17/24 23:15,317,10.93,8.64,NAN,NAN,299.4667,14.4,10365.4
12/17/24 23:30,318,10.93,8.3,NAN,NAN,298.3333,14.4,10360.53
12/17/24 23:45,319,10.93,8.37,NAN,NAN,298.6,14.42,10352.8
12/18/24 0:00,320,10.94,8.34,NAN,NAN,296.4667,14.4,10350.13
12/18/24 0:15,321,10.93,8.07,NAN,NAN,294.3333,14.38,10352.27
12/18/24 0:30,322,10.94,7.361,NAN,NAN,293.3333,14.38667,10344.87
12/18/24 0:45,323,10.94,6.739,NAN,NAN,291.7333,14.3,10342.33
12/18/24 1:00,324,10.93,6.399,NAN,NAN,290.9333,14.30667,10343.8
12/18/24 1:15,325,10.94,6.182,NAN,NAN,290.8667,14.31333,10340.67
12/18/24 1:30,326,10.93,5.955,NAN,NAN,290.4,14.4,10346.93
12/18/24 1:45,327,10.94,5.726,NAN,NAN,289.6667,14.4,10343
12/18/24 2:00,328,10.94,5.324,NAN,NAN,288.9333,14.39333,10339.8
12/18/24 2:15,329,10.93,5.173,NAN,NAN,288.2,14.36,10341.4
